Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-03-09,105.379997,106.089996,104.900002,105.290001,871000,102.573507,-0.0854014068723
2015-03-10,105.190002,105.669998,104.440002,104.459999,969200,101.76492,-0.693985156498
2015-03-11,104.199997,105.169998,104.110001,104.580002,931300,101.881826,0.364688110308
2015-03-12,105.089996,106.510002,105.029999,106.239998,908200,103.498994,1.09430206849
2015-03-13,106.260002,106.349998,105.139999,105.760002,808500,103.031383,-0.470543939948
2015-03-16,106.089996,107.190002,105.669998,106.660004,832400,103.908164,0.537287229231
2015-03-17,106.389999,107.220001,106.050003,106.889999,754400,104.132226,0.469968986465
2015-03-18,106.739998,109.489998,106.190002,108.889999,669000,106.080626,2.01424118445
2015-03-19,108.480003,109.669998,108.059998,109.050003,761100,106.236501,0.525442463345
2015-03-20,109.339996,113.650002,108.730003,113.440002,1683000,110.513238,3.74977698005
2015-03-23,113.349998,114.019997,112.599998,113.279999,1147800,110.357362,-0.0617547430393
2015-03-24,112.900002,113.18,112.279999,112.459999,840500,109.558519,-0.389728071041
2015-03-25,112.639999,113.059998,110.25,110.360001,803900,107.512701,-2.02414596967
2015-03-26,110.0,110.739998,109.300003,110.269997,804500,107.425019,0.245451818182
2015-03-27,110.150002,111.029999,109.889999,110.940002,896300,108.077738,0.71720379996
2015-03-30,111.419998,112.629997,110.510002,112.349998,719800,109.451356,0.83467960572
2015-03-31,112.07,112.629997,111.5,112.0,1693700,109.110388,-0.0624609618988
2015-04-01,111.949997,111.949997,109.879997,110.300003,1035200,107.454251,-1.47386694436
2015-04-02,110.010002,111.949997,109.889999,111.209999,470200,108.340769,1.09080717951
2015-04-06,111.339996,113.120003,111.269997,112.620003,615700,109.714394,1.14963808693
2015-04-07,112.529999,112.529999,110.120003,110.120003,715400,107.278895,-2.14164757968
2015-04-08,110.110001,110.730003,109.540001,109.739998,610000,106.908694,-0.336030330251
2015-04-09,109.629997,109.669998,106.660004,107.139999,1215000,104.375776,-2.27127434839
2015-04-10,107.779999,108.699997,107.050003,107.419998,763600,104.648551,-0.334014662591
2015-04-13,107.5,107.650002,107.160004,107.239998,698100,104.473194,-0.241862325581
2015-04-14,107.260002,108.940002,107.209999,108.309998,701600,105.515588,0.978925956015
2015-04-15,108.220001,108.739998,107.43,107.489998,579700,104.716744,-0.674554604744
2015-04-16,107.110001,108.370003,106.709999,107.650002,389100,104.87262,0.504155536326
2015-04-17,107.309998,108.160004,106.300003,106.989998,489800,104.229644,-0.298201477928
2015-04-20,107.139999,107.739998,106.510002,106.790001,367200,104.034807,-0.326673514343
2015-04-21,107.029999,107.860001,106.760002,107.0,477500,104.239388,-0.0280285903768
2015-04-22,106.980003,107.809998,106.489998,107.120003,363900,104.356295,0.130865578682
2015-04-23,107.050003,107.379997,106.410004,106.940002,451900,104.180939,-0.102756652889
2015-04-24,107.019997,108.209999,106.809998,107.459999,449500,104.687519,0.411139985362
2015-04-27,107.760002,108.32,107.269997,107.639999,358700,104.862876,-0.111361356508
2015-04-28,107.260002,107.809998,106.440002,107.449997,454800,104.677775,0.177134995765
2015-04-29,106.589996,106.830002,105.18,105.330002,620700,102.612476,-1.18209404943
2015-04-30,104.839996,105.0,102.870003,103.489998,771400,100.819945,-1.28767460083
2015-05-01,104.199997,105.290001,103.879997,104.5,829200,101.803889,0.28791075685
2015-05-04,104.75,105.5,104.339996,104.589996,574500,101.891563,-0.152748448687
2015-05-05,100.400002,102.830002,98.5,100.730003,1191000,98.131158,0.328686248433
2015-05-06,100.720001,100.949997,99.419998,100.139999,596200,97.556376,-0.575855832249
2015-05-07,100.5,102.220001,100.139999,101.480003,727300,98.861808,0.975127363184
2015-05-08,102.18,103.879997,102.18,102.889999,613000,100.861583,0.694851242905
2015-05-11,102.480003,102.970001,100.519997,100.870003,498400,98.88141,-1.57103820538
2015-05-12,100.199997,101.559998,99.639999,100.949997,501900,98.959827,0.748503016422
2015-05-13,101.330002,102.220001,99.690002,99.959999,631600,97.989346,-1.35202109243
2015-05-14,100.5,102.0,100.360001,101.879997,502700,99.871493,1.37313134328
2015-05-15,102.25,103.279999,101.82,102.720001,703000,100.694936,0.459658679707
2015-05-18,102.400002,102.739998,101.410004,101.82,620700,99.812678,-0.566408192062
