,A,ABBV,ABC,ABT,AET,AGN,ALXN,AMGN,ANTM,BAX,BCR,BDX,BIIB,BMY,BSX,BXLT,CAH,CELG,CERN,CI,CNC,DGX,DVA,ENDP,ESRX,EW,GILD,HCA,HOLX,HSIC,HUM,ILMN,ISRG,JNJ,LH,LLY,MCK,MDT,MNK,MRK,MYL,PDCO,PFE,PKI,PRGO,REGN,STJ,SYK,TMO,UHS,UNH,VAR,VRTX,WAT,XRAY,ZBH,ZTS
BCR,-0.0375484122722,0.0141600575022,-0.0305065926916,0.179813562119,0.00490619241526,0.0332578053143,0.00880266471854,-0.119100772904,-0.0160111404488,0.0970184416284,1.0,0.116889034368,-0.0124089430983,-0.00933943830475,0.19547764219,-0.0424574337146,0.0201992284375,-0.0633960386991,-0.0608736456665,0.0396421780581,-0.113815727159,0.0250044457651,-0.0316293386439,0.0435672228624,0.0389603950378,0.0865488991963,-0.0417128335796,0.0929768403884,-0.0135072015299,0.0626535957995,0.0170975246109,-0.0429669932429,0.0674245393578,0.00699993238482,0.0237218420911,0.0923055906188,0.0540567455227,-0.114988932797,-0.0144100595968,0.0263544441676,0.0523113879923,-0.0178117481485,0.0533862836466,-0.0132919239066,-0.0386636974891,-0.0122640224166,-0.00202722750009,-0.0198923087982,0.00755147572341,-0.011158765411,0.00478698224176,0.0646903681299,0.0380404793549,0.0741468393755,-0.0408550257698,0.0102826286367,-0.207622870821
BDX,-0.00527709789924,0.0388840281489,0.00160995126918,-0.0409911558492,0.0157142347357,-0.00907465679934,-0.000480991059957,-0.0527391725057,-0.0385151502107,-0.0345312874119,0.116889034368,1.0,0.0121728472124,-0.0692429811954,-0.115392283133,0.00988953145481,-0.0436719579414,0.0122966574964,0.0798036669195,0.0573946313766,-0.0190700461755,-0.0469330242721,-0.0130723003742,0.00575087952254,0.00394170791549,0.0414095655707,0.0282753313815,0.0175160407428,-0.0442185806147,0.022605464805,0.114489913559,-0.0069403072802,0.025090944711,-0.101956612229,-0.0334553018392,0.0886457712071,-0.0467177939877,-0.00743347410208,-0.00179406336055,0.0675261576899,0.0102815271481,-0.103426987235,-0.00334445872767,-0.0124354783853,0.00217009248611,-0.00800374808351,-0.078699795955,-0.00517368942321,-0.0897150259729,-0.00534359264562,-0.0215369325761,0.00823478804,-0.0228236017512,-0.045357644664,0.00997982257223,-0.0374374444774,-0.00354763065817
BIIB,0.00580777252462,0.01467397152,-0.0193226845624,0.012915673251,-0.00120832722826,0.0409025201878,0.0293116842002,0.0235689941209,-0.0109164661266,-0.0325475730696,-0.0124089430983,0.0121728472124,1.0,0.298051364329,-0.030702509138,0.0312054231426,-0.162205417762,0.138840501744,0.0138304849372,0.00570329471461,-0.00565032111948,0.0326622815908,-0.0231073977269,0.00174506888438,0.0295635274814,0.0203318997747,-0.0456207793257,0.0276534230927,0.0114604409341,0.0120671017568,-0.0719822845111,-0.0237146495761,-0.00511677987186,0.0326206633699,-0.0168767809011,0.00778395879431,-0.0223891655776,0.0439644564612,0.0189965716611,-0.0229051619209,-0.00531085416743,0.073433706634,0.0294194093635,-0.0119141617519,0.0150879022751,-0.036462315132,0.00908634795878,-0.0011727324119,0.026332510165,0.00846282257005,-0.0490660582995,-0.0270391845587,-0.0418559884597,0.172341352583,0.0220822254628,-0.0181390964965,0.0067035448002
BMY,0.0407908529334,0.0526699174888,0.00519786875491,-0.0256600404004,0.0472127826165,0.0274917092763,0.00817094580474,0.0158650043399,0.0229611937662,-0.0537521152793,-0.00933943830475,-0.0692429811954,0.298051364329,1.0,0.0343879047677,0.0384172028328,-0.0377250069555,-0.0904934804098,-0.311613755284,0.0032940987548,-0.0593442382588,0.00275463289686,-0.0191809460542,-0.0341981893174,0.032991855357,0.064664703151,0.00211854332946,0.0154245413543,-0.00543190492392,-0.148120155851,-0.0144213981182,0.037837746717,0.0335326419576,0.0718661006385,0.0106809472188,-0.203589626014,0.0340300041519,0.0229438220795,-0.0100743193947,0.0735167189438,0.0642140386012,-0.0339818228227,0.0493344339691,0.0386494588861,0.041639774686,-0.0163290102774,0.0803805425868,0.00481055699023,0.0541164990429,-0.0514265947586,0.00265599185169,-0.0205787006331,0.0835534692677,-0.00934471389057,0.0328605550129,0.0674907577109,0.0715496159089
BSX,-0.0936752018276,0.0873209954174,-0.00991205939162,-0.0267247019571,0.0601269438817,0.00122935772818,0.00792064285274,0.00284378283868,0.0198069220492,0.0214236493287,0.19547764219,-0.115392283133,-0.030702509138,0.0343879047677,1.0,-0.037750808749,0.0960483037371,0.00334818590336,-0.130045719772,0.0938844825557,0.0110214037744,0.0196606137496,-0.0568317837311,0.0068614807799,-0.0155098081582,-0.0310558713904,0.025159718147,-0.0293753233198,0.0443160393433,-0.0996934978031,0.0381971849634,0.0894986124965,-0.00178440101912,-0.111871229987,-0.0683436138684,-0.0543909212205,0.0603995909717,0.0225772907867,0.0706483305311,0.00736453289786,0.0553188100585,-0.156927027362,-0.0370228422118,-0.0406182409565,0.0959130716017,0.00608920197128,-0.0270712541533,-0.00106288530102,0.0321379524903,0.0517705621212,0.00861118080215,0.00106115550934,-0.0122805309681,0.0829833677905,-0.0323956779077,0.0289446270542,-0.364130203119
BXLT,0.0154710652353,-0.0445766003948,0.102569033153,0.18212669933,0.0246534557798,0.023791542778,-0.0466739635095,-0.00426798873459,0.0191698588241,-0.0825678487069,-0.0424574337146,0.00988953145481,0.0312054231426,0.0384172028328,-0.037750808749,1.0,-0.148445011306,-0.0447899237179,-0.0231644911592,0.0270123013494,-0.0129865749238,-0.0125629943061,-0.0167379991249,0.0425624043312,-0.0144949027401,-0.0180492471058,0.0493991956213,0.0343635293198,0.0132438523054,0.038181812696,-0.027208123221,0.0178371864685,0.00632395225992,0.00203972954516,-0.0393342385637,-0.0144681295449,0.00976230707043,0.0203350727963,0.0101250689866,-0.0346647926918,0.184535573081,0.0751326630015,0.0496295270635,-0.0213097468033,0.0380814597799,0.105866624788,-0.0142205278526,-0.00341242048381,-0.0301071666645,-0.0401667266163,-0.00855072952138,0.0267193791602,-0.0184962762229,-0.046690596225,0.0334429181509,0.0318050946426,0.00393232732961
CAH,0.0409141110505,-0.0151204942897,0.00805486799626,0.0990004619314,0.0199951033008,-0.00380038698212,0.00643443956591,-0.00354782088366,-0.0230261235528,-0.0394332190598,0.0201992284375,-0.0436719579414,-0.162205417762,-0.0377250069555,0.0960483037371,-0.148445011306,1.0,0.00488946737793,-0.0434954445752,0.00932873450343,0.00665377145625,-0.0111365309822,0.0333618398405,-0.0971227589577,0.0308865835829,-0.0159265148131,0.00186296503553,-0.0118719526045,0.0349642910308,-0.0112406339484,0.0327999275736,0.0231520376136,-0.0249026628936,0.0261130218311,0.034021560858,-0.0502491165506,0.0557718018079,0.0575681831775,-0.0262091052753,0.208358239714,-0.57303240589,-0.0431544091863,0.0546977380036,-0.011498055104,-0.0266447333247,0.0108589154156,-0.0205653509672,-0.00553215360584,-0.0143217262702,0.0815391729144,-0.0692813903934,0.0199124920805,-0.0285494945729,-0.00340919763014,-0.0224365637883,0.0550313255942,0.0247920940205
CELG,-0.0159270305622,-0.0254346065198,-0.019938141158,-0.0257025819269,-0.030673595573,0.00309635527146,0.0527046489271,-0.00163658344842,-0.0243567786675,0.0344000336205,-0.0633960386991,0.0122966574964,0.138840501744,-0.0904934804098,0.00334818590336,-0.0447899237179,0.00488946737793,1.0,-0.00473838724049,0.022625704377,0.00255967831938,0.0231726698119,-0.026403181007,-0.0272589312509,-0.0361976647702,0.0142412150351,-0.0728953427399,0.0264666124018,0.0243996332684,-0.080132609782,-0.267845544224,0.010361724298,0.0207133314097,0.102433347595,-0.029628749817,-0.0573474702912,-0.0440863169438,0.00156213919861,0.0623558830462,0.0202236641537,-0.0203223977062,0.00702144644676,-0.0281217304881,0.00625674569971,-0.0517622163904,0.0203666537781,0.00403256932385,0.0123445116344,-0.0154114299429,0.000497333843071,-0.0199113080463,-0.0132065237849,0.050429071624,-0.1225244759,0.110453883576,0.0283326462035,-0.033130902037
CERN,0.0119885038808,0.0120941196176,0.0167668739011,0.0483734368577,-0.267169087527,0.0639297667138,0.00483963137531,0.0552773898923,-0.0316763891912,-0.0962222928921,-0.0608736456665,0.0798036669195,0.0138304849372,-0.311613755284,-0.130045719772,-0.0231644911592,-0.0434954445752,-0.00473838724049,1.0,-0.0248999914891,0.0140404984601,-0.126990674432,0.000630697969685,-0.00661502980445,-0.0493355180799,0.0641229552704,-0.00993620946645,-0.0169687080284,-0.333304250345,-0.0555976153533,0.0348410829465,-0.249402320731,-0.0185814533727,0.0355956698864,0.0126798724057,-0.0286118004938,-0.0212941185961,-0.00282238033484,0.00890178107712,-0.378750393338,-0.0868978016242,0.0541587575674,0.00561293452045,0.00500213547174,0.00629142309699,-0.0020704747903,-0.0372951577745,-0.0713253548775,0.0135530638109,-0.0116346820019,-0.00339697815122,0.0441804101395,-0.179131317734,-0.0159337806349,0.016876596765,-0.147705868899,-0.126337056408
CI,0.0194862704716,0.00471056626514,-0.0288844470459,0.00563132704119,-0.00408983430786,0.0323908840906,0.134983227278,-0.0132940994675,-0.0716865818149,-0.00145039314299,0.0396421780581,0.0573946313766,0.00570329471461,0.0032940987548,0.0938844825557,0.0270123013494,0.00932873450343,0.022625704377,-0.0248999914891,1.0,0.108918800564,0.0203188230587,0.117682895984,0.0837944708058,0.0139005084273,0.0522767923873,-0.028251351706,-0.0271398094633,0.0602627808709,-0.177135197692,-0.0915216611213,-0.0365176056018,-0.0121506450972,-0.00281305980081,0.025955557207,0.0198251429435,-0.00799397392512,0.0474180398057,0.00845488363394,0.0569314728579,0.0100919224664,0.0379964172045,0.034286878756,0.261510444225,-0.0413410052323,0.012867522369,0.0251857136632,-0.00165604601964,-0.0306586501968,0.0136835998517,-0.137267842527,0.213585828704,0.0649740279543,0.0184204327201,0.0136523677557,-0.0258459313248,0.0168030423141
