,AEE,AEP,AES,AWK,CMS,CNP,D,DTE,DUK,ED,EIX,ES,ETR,EXC,FE,GAS,NEE,NI,NRG,PCG,PEG,PNW,PPL,SCG,SO,SRE,TE,WEC,XEL
EIX,0.183386029903,-0.0183952410935,0.0749543096719,0.0495014053684,0.145854776625,0.0426857333533,0.0146346062905,0.0802447554814,0.000426304611722,0.131509369795,1.0,0.0928618918876,-0.0810147087198,0.0172489070521,-0.0851511589291,0.124628184047,0.100904835361,0.0239584066374,-0.0228800400499,0.0375242570267,0.100084300553,0.0806523252136,0.0631401272924,0.189565092363,0.101810020966,0.00466312975321,-0.0105931455306,0.216245309423,-0.0383315369866
ES,-0.028019319273,0.0195820761374,0.0842474887234,-0.0643624250707,-0.0577251818865,0.112110727501,0.0136750148317,0.0103883656952,-0.241284899834,0.0324275666461,0.0928618918876,1.0,-0.00748502641327,-0.0254198977931,0.000809424156437,0.00882858231916,-0.00909192763529,-0.0406728496074,-0.0587760989171,-0.014250219827,0.0383374176703,0.0678903175814,0.0547992123161,0.065577125817,-0.00641589998396,-0.0290973684044,-0.0328645561914,-0.0182924338264,-0.0581770608117
ETR,-0.303543482797,0.129274506365,0.01937921309,-0.0650908665603,-0.173359351394,0.116280090953,-0.137798088825,0.0306642899178,0.0695953669527,-0.0599481787086,-0.0810147087198,-0.00748502641327,1.0,0.0619810443219,0.0393450008659,-0.0441347375208,-0.276019296828,-0.043034876044,0.010284353699,0.194337796872,-0.078134280717,0.118677616752,-0.0403604769539,0.120806316382,-0.341950021242,0.0127548636582,-0.0796424855244,-0.298757442565,0.181366328499
EXC,0.0953452550582,0.0337489440268,-0.0266871745875,0.0347783925106,-0.000843418939024,0.0696417886053,-0.0332868746883,0.00441043392018,0.0314224368583,0.0192899591197,0.0172489070521,-0.0254198977931,0.0619810443219,1.0,-0.435602279037,-0.049124363933,-0.333648889029,0.0234651405445,0.0991339799734,0.0279733729678,-0.022456341703,0.0268693947458,0.00892418699904,-0.0169629377789,-0.0915585417836,-0.0483359687428,-0.0680094076858,0.0128196041326,-0.0359123875179
FE,-0.0404523194958,-0.0058645085172,0.00392828530357,-0.0580209035516,-0.0121338210389,-0.119143525694,-0.0131123050703,-0.00180137024827,0.0164931236493,0.0263479277137,-0.0851511589291,0.000809424156437,0.0393450008659,-0.435602279037,1.0,-0.0128971254713,0.457452065095,0.0185229689221,-0.00701924141535,-0.120436619598,-0.0920687010429,-0.0397725842374,0.0213785826276,0.0282220119986,-0.0702419971436,0.0681306934009,0.117205896734,-0.00524191813591,0.0576252204371
GAS,-0.0556436110968,0.0180204527382,0.00643738329696,0.149531763,0.125029069517,0.113734845254,-0.00697796597121,0.0432163821824,0.0512155948278,0.278252531966,0.124628184047,0.00882858231916,-0.0441347375208,-0.049124363933,-0.0128971254713,1.0,-0.0104589955311,0.0477994956988,-0.0524800520344,-0.0478129913663,0.189607647116,0.0194342812175,0.0770688539863,0.160667644748,0.0578215949259,-0.0541253956799,0.106394852332,-0.00211415288492,-0.070577892968
NEE,0.270272483063,0.0114885396078,0.045175207095,0.0477952936467,0.0898239184454,-0.011093280832,0.140156246103,0.0389214935137,0.00881332315179,0.0357900637062,0.100904835361,-0.00909192763529,-0.276019296828,-0.333648889029,0.457452065095,-0.0104589955311,1.0,0.0818790442973,0.0368598786792,-0.238667040839,0.000363316259788,-0.105297890379,-0.0288439832666,-0.125325342107,0.25141494438,-0.00839540360058,-0.00511898310141,0.401848439439,-0.0766886648766
NI,0.0873107479285,0.0219797381275,0.0136809576257,0.00985022021071,0.0284021389122,0.0575576087168,0.0633082578632,0.036041539059,-0.000498412643035,0.0702396603859,0.0239584066374,-0.0406728496074,-0.043034876044,0.0234651405445,0.0185229689221,0.0477994956988,0.0818790442973,1.0,-0.0135843025789,-0.0193579013355,0.00580697788846,-0.0158782170123,0.0567117585471,0.01818853638,0.158529847362,-0.00615691176651,0.0756824407697,0.0757851026655,-0.00319762740715
NRG,-0.0813991945086,-0.0132346566728,-0.0541107869287,0.0951724705681,0.0760622838409,-0.0228614300674,-0.0119291822723,0.00725934963913,0.0378363561951,0.0295557427252,-0.0228800400499,-0.0587760989171,0.010284353699,0.0991339799734,-0.00701924141535,-0.0524800520344,0.0368598786792,-0.0135843025789,1.0,0.186899432437,0.0448962575493,-0.0264826665321,-0.200087524682,-0.0303569218795,0.0232126018439,0.0208571161013,-0.00620235303404,0.0232113400342,-0.0409464205168
PCG,-0.211334151759,0.104923267689,0.0656270495977,-0.0519591683757,-0.0745650550341,0.0308072305578,-0.0702484763424,-0.0614379625632,0.00549863928753,-0.0246164473074,0.0375242570267,-0.014250219827,0.194337796872,0.0279733729678,-0.120436619598,-0.0478129913663,-0.238667040839,-0.0193579013355,0.186899432437,1.0,-0.0572250350801,0.0647015191874,-0.308754757462,0.0380055117106,-0.1483136285,0.00489433978859,0.125100663971,-0.248947918958,0.0239170228286
PEG,0.0245527900487,0.0186103820595,0.0155837900442,0.00097193821289,0.0196065176417,0.128861523084,0.00989068916317,0.110333040609,0.0757680325203,0.0173990050536,0.100084300553,0.0383374176703,-0.078134280717,-0.022456341703,-0.0920687010429,0.189607647116,0.000363316259788,0.00580697788846,0.0448962575493,-0.0572250350801,1.0,-0.0722450547997,0.237442499164,0.00476028300413,-0.0334556939552,0.0109618375751,0.0314764886306,0.0281453089194,-0.0555825031282
PNW,-0.134672407962,0.118371816879,0.0408972266096,0.0429638986252,0.07098728646,0.0340318638531,-0.0676821105355,0.016686020037,0.134317395234,0.072716877169,0.0806523252136,0.0678903175814,0.118677616752,0.0268693947458,-0.0397725842374,0.0194342812175,-0.105297890379,-0.0158782170123,-0.0264826665321,0.0647015191874,-0.0722450547997,1.0,0.13467262665,0.0877390549611,-0.0920128151937,0.242029730061,0.0454426393653,-0.174711471914,-0.0734985538337
PPL,0.151761309608,0.0281242661005,-0.0324421104278,0.00108173169222,-0.0437672093144,-0.0167397374002,0.0452243738105,0.0917584195192,0.0995791180634,0.125475248321,0.0631401272924,0.0547992123161,-0.0403604769539,0.00892418699904,0.0213785826276,0.0770688539863,-0.0288439832666,0.0567117585471,-0.200087524682,-0.308754757462,0.237442499164,0.13467262665,1.0,0.0471418764645,-0.0147979486259,-0.00262010251667,-0.00376493655058,0.0990312858051,-0.0346834164938
SCG,0.0518729125001,-0.141576576515,0.0271157747791,0.0346593665,-0.0648753625239,-0.0186142090822,-0.355692881615,-0.0803536973593,0.086287408433,0.0444699008197,0.189565092363,0.065577125817,0.120806316382,-0.0169629377789,0.0282220119986,0.160667644748,-0.125325342107,0.01818853638,-0.0303569218795,0.0380055117106,0.00476028300413,0.0877390549611,0.0471418764645,1.0,-0.0807524003645,0.0635255290244,-0.0891311657457,-0.0816986920516,0.179062822034
SO,0.415917175111,-0.0661096103877,0.0357210605844,0.0593732353714,0.0862110917133,-0.0117351695642,0.277808058231,-0.0265317949441,-0.0180303483883,0.122773627752,0.101810020966,-0.00641589998396,-0.341950021242,-0.0915585417836,-0.0702419971436,0.0578215949259,0.25141494438,0.158529847362,0.0232126018439,-0.1483136285,-0.0334556939552,-0.0920128151937,-0.0147979486259,-0.0807524003645,1.0,0.00454052310179,0.0179930298119,0.422275856862,-0.12176806536
SRE,-0.0134787833289,0.0119114378027,-0.023542133287,0.0333214407561,0.00620104563552,0.1174706448,-0.00859309657333,0.0061098435434,0.0508627234981,-0.00932164116007,0.00466312975321,-0.0290973684044,0.0127548636582,-0.0483359687428,0.0681306934009,-0.0541253956799,-0.00839540360058,-0.00615691176651,0.0208571161013,0.00489433978859,0.0109618375751,0.242029730061,-0.00262010251667,0.0635255290244,0.00454052310179,1.0,0.0263255078729,-0.00970730471135,0.0315093779769
TE,0.0267010123683,-0.0303349706119,-0.0130853424179,0.0767550950783,0.133359851561,-0.0546495092199,0.0155245880609,0.199666735411,0.0256005377372,-0.0564261359923,-0.0105931455306,-0.0328645561914,-0.0796424855244,-0.0680094076858,0.117205896734,0.106394852332,-0.00511898310141,0.0756824407697,-0.00620235303404,0.125100663971,0.0314764886306,0.0454426393653,-0.00376493655058,-0.0891311657457,0.0179930298119,0.0263255078729,1.0,0.00693002952796,-0.0617076951234
WEC,0.430012452819,0.0420339061132,0.0331912069047,-0.0511884727166,0.0122799837826,-0.0603257818176,0.240522940804,0.08252651817,0.0175037036776,0.0856861364686,0.216245309423,-0.0182924338264,-0.298757442565,0.0128196041326,-0.00524191813591,-0.00211415288492,0.401848439439,0.0757851026655,0.0232113400342,-0.248947918958,0.0281453089194,-0.174711471914,0.0990312858051,-0.0816986920516,0.422275856862,-0.00970730471135,0.00693002952796,1.0,-0.213520350301
XEL,-0.111482013192,0.0977158395255,0.0698062409211,-0.0278073280174,-0.0683079659995,-0.046046656838,-0.0691157787995,-0.0510490645284,0.0636772996229,-0.00260142335329,-0.0383315369866,-0.0581770608117,0.181366328499,-0.0359123875179,0.0576252204371,-0.070577892968,-0.0766886648766,-0.00319762740715,-0.0409464205168,0.0239170228286,-0.0555825031282,-0.0734985538337,-0.0346834164938,0.179062822034,-0.12176806536,0.0315093779769,-0.0617076951234,-0.213520350301,1.0
