,AAL,ALLE,AME,APH,AYI,BA,CAT,CHRW,CMI,COL,CSX,CTAS,DAL,DE,DHR,DNB,DOV,EMR,ETN,EXPD,FAST,FDX,FLIR,FLR,FLS,GD,GE,GLW,GWW,HON,IR,IRM,ITW,JBHT,JEC,KSU,LEG,LLL,LMT,LUV,MAS,MMM,NLSN,NOC,NSC,PBI,PCAR,PH,PNR,PWR,R,RHI,ROK,ROP,RSG,RTN,SRCL,TXT,TYC,UAL,UNP,UPS,URI,UTX,VRSK,WM,XYL
CSX,0.0505664657525,-0.124418374269,0.0329771874446,-0.0384908218161,0.0272696144231,0.0798993791113,0.0673927526211,-0.00909359316443,0.0239163521501,0.0328111901663,1.0,0.0214356823783,0.00080449090492,0.0166849137766,-0.0401603555434,0.0255665398157,0.0321739351873,0.0791573172339,-0.0207161883429,0.130525202389,0.200968259041,0.162074630832,0.0532013261721,0.0851220428033,0.13786897424,-0.0698005106546,-0.0269825561333,0.053526142638,0.019496830961,0.0814102024903,0.00772943110489,0.0115025817282,0.106762470793,0.0417310028548,0.0511689544663,0.0322302155238,-0.00849217243376,-0.0256522583288,0.0556832712427,-0.173548480469,0.0805481280224,0.0975793516966,0.0037323341916,-0.173247356072,-0.0692165151683,0.046192799214,0.102260760669,-0.0302478279845,-0.077430374562,-0.022357438939,0.10858842074,-0.0684453145155,-0.00134856627292,0.00323062457253,-0.025771896981,0.0468992168067,-0.0113492828279,-0.0140437973944,0.0295679735449,0.00341242512866,0.0623891832584,0.0342225999669,0.0222866932907,-0.138580794095,0.0236029234304,0.0179883106261,0.00180475159234
CTAS,-0.0216422711479,-0.0523296178833,-0.0961394369571,-0.177647032788,-0.0201457300115,0.267880029629,0.109600936925,0.00155663620648,0.0450304940965,-0.0524663135876,0.0214356823783,1.0,0.00552033159776,0.038044809131,-0.0208587578471,0.0296475754514,-0.0430978134906,-0.0558803574766,-0.00559360317891,-0.00936693930308,-0.166877358656,0.0324246221134,0.0262185687208,0.016361682442,0.401185738571,-0.0753237085018,-0.165318147789,0.013056931402,-0.156690960997,0.0164970920727,0.0295284040781,0.0162297355843,0.0348506097767,0.00262501998968,-0.0760755949048,-0.0417461572609,-0.170480987185,0.012422324871,-0.0047164159285,0.013007914745,0.0538487768953,-0.112077676055,-0.00950219019266,0.0159021971806,-0.0186177321878,-0.0357074345773,0.0279896818245,-0.0460151104267,-0.00887530947342,-0.0779267726772,0.0078413514873,0.0314172011911,0.0123413028489,0.0145461947281,0.002443518788,0.0411727445464,-0.0365414360371,0.0495794473564,0.0191553401267,-0.00583287278581,0.0153844078674,-0.0010193007849,-0.00401730884579,-0.0577269206087,0.00689224780413,-0.0137368993219,0.0772492379755
DAL,0.0152299522404,0.00589329503891,0.0137911286622,-0.0566848817715,-0.0674508650442,-0.00840428268297,-0.012164734432,-0.00128736728627,-0.0110940595267,0.0743075229556,0.00080449090492,0.00552033159776,1.0,-0.00822836009458,0.0067178826711,0.0121341799396,-0.013253579469,0.0154066458955,-0.0298135329056,-0.0361303930911,0.0164045988377,-0.0545077930901,-0.0264818184697,0.0182732273906,-0.00270885970111,-0.0584940981717,-0.0458145350766,0.0157733670426,-0.0257734220901,0.0404762735065,-0.0015937128392,0.0131789021032,0.0613806446835,-0.000469816390455,-0.0176794523823,0.00487980685679,0.0671185213823,0.0447741561707,0.000587243790769,-0.0290079308447,-0.014403288621,0.0204142900619,-0.0413688490977,0.0207827075797,0.0134839448171,0.0176948705249,-0.0912906177939,0.00907375823357,0.025914558569,-0.0250106972288,-0.0308072597967,0.0161696043359,-0.0829657730186,-0.0185871556754,0.0201180516636,-0.00672583559056,-0.0040725426796,-0.00976314126626,0.0931454296617,-0.00445537026296,0.173127341314,0.0173752945626,-0.0100653343556,-0.0107012669716,0.00667875860426,0.0190029210373,0.0185856164131
DE,0.0767385133464,-0.0921742856573,0.0968284059222,-0.0786990609799,-0.113423846813,0.0873648751819,0.0411765672826,0.101690661789,0.034401770313,0.0475076193458,0.0166849137766,0.038044809131,-0.00822836009458,1.0,0.00170859995619,-0.0286501668023,0.0180604352939,0.064411198629,-0.0274842244565,-0.0640672124476,0.0446439123892,-0.0351537467789,-0.0252260870002,0.0116229793267,0.0437749567447,-0.0329003597385,-0.0864147859679,0.0128540802752,0.00930172666858,0.0890349980519,0.0809608330593,-0.27434511357,-0.33520749417,-0.0614242096724,-0.0614140069915,-0.124445076732,-0.0434794108933,-0.0711601899544,-0.06520157148,-0.0486374923993,-0.0423737792964,-0.0474946670609,0.0237760856922,-0.0898123951738,-0.217230982294,0.000643410586,0.0322212385953,0.0706643486122,0.0892258506008,0.0328407021158,-0.110062667205,-0.0628125117664,0.00779730155897,0.0688323412681,-0.0132151917928,0.134555037645,-0.0107413582918,-0.0414483785001,0.00554672125544,-0.007092494846,0.025705218626,0.0731283603538,0.0227983420213,-0.0463150247945,0.0186205493552,-0.016297657698,0.0164865266473
DHR,-0.132516894811,0.0403605441521,0.125404448637,-0.0452348273299,-0.0482825009912,0.0264827741475,0.0186863791651,0.0104374457631,-0.0613448808469,0.0143196230764,-0.0401603555434,-0.0208587578471,0.0067178826711,0.00170859995619,1.0,0.144889118764,-0.102824198091,0.0421824721314,-0.0307860770145,0.0103585746858,0.0260947675693,-0.011623059846,-0.0939391971784,0.0285312708876,-0.00657234554501,0.0427364692679,0.073020426017,0.054697659377,0.0355874045412,-0.181535503347,-0.0548398395203,0.0357268659332,-0.0124004897473,-0.0185847346872,0.0133191568322,-0.0479732892021,-0.0335483243792,-0.0451511165065,0.128297648062,0.0940261372508,0.0187229719839,-0.023607930702,0.0272079809602,-0.00991349563972,0.0563697243376,-0.0377582427962,-0.138081502267,-0.0516445076159,0.00119363278874,0.0581090230458,-0.0240432310897,-0.0468054016727,-0.0122274098864,0.0220536585496,0.0713176772665,0.0365887981503,0.0517587128106,-0.166118466624,0.0207231713992,-0.0260610212357,0.00734539180551,-0.0834744202509,0.00740007898746,0.042287620973,0.160550162291,0.219658397575,-0.000811103517346
DNB,-0.129064534063,0.0198239037577,0.314186376806,-0.0366143593502,-0.0686941805451,0.0300322882765,0.0309062891967,-0.055590780336,0.0775951134135,0.077530600496,0.0255665398157,0.0296475754514,0.0121341799396,-0.0286501668023,0.144889118764,1.0,-0.101840476743,-0.0103542767411,-0.0169090164157,-0.00965593370292,-0.0177913464385,0.0269266545362,0.0157102946359,0.00173231728133,0.0596950530795,-0.0202766078898,-0.00960437277224,-0.03184936475,0.0253155158483,-0.0303205316977,0.0120506570599,-0.0332343177013,-0.00448710245682,0.0457254045033,0.0377642786992,-0.0171584861352,0.0684653214624,-0.0630810508792,0.493122787365,-0.0367015570925,-0.00536273996845,0.0351137018222,0.0251373512759,-0.00413704360098,-0.0189440596868,-0.0447983192672,-0.20643240214,0.00121027413433,0.041586365864,-0.0169065213027,0.0340343386508,-0.0361763773199,-0.0263157095429,0.017258212962,-0.00831472645656,0.0322073681594,-0.0201323522385,0.0294302012,-0.0313409017094,-0.0111822637199,0.00271855401052,-0.0185915511697,0.0236020769606,-0.0160034634511,0.0221756772704,0.0194493521273,0.012166488516
DOV,-0.0117244546369,-0.0165504475199,-0.0309133133532,-0.0272402449389,0.0153160823127,0.0209510123345,-0.0317265329002,0.0155818613513,0.0111795006053,-0.0167027219148,0.0321739351873,-0.0430978134906,-0.013253579469,0.0180604352939,-0.102824198091,-0.101840476743,1.0,0.0237022461825,-0.0339583340762,0.0671065682365,0.00673980177112,-0.0252610442542,0.00472910912495,-0.0828651255303,-5.45573907945e-05,-0.0599161102474,-0.373787153664,-0.0405148778545,-0.05691277298,0.190190026366,0.0915729113262,-0.13217650227,0.0149495986817,0.11911004747,-0.115844873153,0.0351412883605,-0.0948508396848,-0.0446029598994,-0.146010071263,-0.000387502986968,-0.00649180237099,-0.0220005495318,0.00887777508144,0.0146404087423,0.0190558207673,0.0513659251503,-0.0393306023855,-0.0112393755389,-0.015235738511,-0.231405471375,0.0147219378464,0.0054144241161,-0.0118679364298,-0.0381692651396,-0.0418824256389,-0.0157082308149,0.166979066148,-0.0069350052716,-0.00164749813279,0.030939218874,0.0482665213111,0.280882086366,0.0150929106872,0.026123547878,0.100520015408,0.107041525468,-0.0302641577742
EMR,-0.0381797470205,-0.00285137248311,0.0434863261076,-0.0490901701182,-0.0886582304764,0.111021228533,0.0622444693156,-0.0277426314019,0.0495728947864,-0.0171679334908,0.0791573172339,-0.0558803574766,0.0154066458955,0.064411198629,0.0421824721314,-0.0103542767411,0.0237022461825,1.0,0.121399184475,0.146089317495,0.114126689159,0.042612780907,0.0432007479205,0.0252147051208,0.0225733971834,-0.131398244062,-0.000391899328347,0.0908919340065,-0.00241797070365,0.163829565243,0.00652796580262,-0.0724196351443,0.119137816254,-0.0691400731309,-0.0535835705147,-0.0089340612069,-0.0202407424677,-0.0268068741092,-0.0629893926939,0.0292250154198,-0.181901583794,0.103161011378,0.135700336957,-0.0227053574839,-0.0362990200216,-0.0168278080964,0.0443740726989,0.161395247569,0.109260582143,0.0127411121191,-0.0474299338296,0.0624702901233,0.121684731263,0.0141244089388,-0.00230069391191,0.0138870259827,-0.0466986956777,0.101945511589,0.0482625741921,-0.0191170201205,-0.0253343717647,0.144439528169,-0.0976277475545,0.068510036204,-0.0087250178906,-0.0836563612961,0.143656108271
ETN,0.0199030027983,0.0627790267309,-0.0344353543418,0.105525342239,0.0353219437424,0.0223517388404,0.00745405117919,-0.00519057519999,-0.0909972430668,-0.0140642128029,-0.0207161883429,-0.00559360317891,-0.0298135329056,-0.0274842244565,-0.0307860770145,-0.0169090164157,-0.0339583340762,0.121399184475,1.0,0.273007122835,-0.097047435475,-0.104917783507,-0.026448958158,-0.147027882281,0.0116021476396,0.027604695225,0.0234944098932,0.0486271827074,-0.00333835964513,-0.0245587316944,-0.0957757885522,0.02422674408,0.0516880493257,0.0912975699827,-0.0306604713453,0.00293862047404,-0.0107132722421,-0.030424368184,-0.0525651109269,0.0192561686411,0.00750663404538,-0.020598427411,0.0262954007522,-0.0702436255353,-0.0141225372799,-0.00646189414385,-0.0207373516728,-0.0237724722443,-0.0355502265517,0.0237842204897,0.014558571754,-0.0380698607025,0.30594309575,0.0210066233994,-0.0143616760669,-0.0582141415984,9.11201801302e-05,0.109282087311,0.0134304953214,0.0130936890418,0.0239653338762,-0.0510133250939,-0.536564086445,-0.00598604431076,0.00818562952674,-0.0267674953649,0.0115579438009
EXPD,0.0240338283745,0.119815114845,0.00602407837472,0.0454335573531,0.0446405421852,0.0193539776714,0.00596510234921,-0.0512146360919,-0.00441391700287,0.0272263424219,0.130525202389,-0.00936693930308,-0.0361303930911,-0.0640672124476,0.0103585746858,-0.00965593370292,0.0671065682365,0.146089317495,0.273007122835,1.0,-0.0472561639094,0.132702320537,-0.0271722599467,0.0794141494405,0.00937226100472,0.0260007470983,-0.0180734989505,0.0257472330057,-0.0200892442457,0.0142941427497,0.0410411743888,0.00923542424353,0.0480404006549,0.0273714347148,0.0372767233189,0.0312403959708,-0.112806318918,0.0494118285937,0.00825707610547,0.0771658935905,0.0538610818281,0.0167669558375,0.0758661050453,-0.0956114338571,0.00203722846494,-0.0320795826856,-0.0393387367684,-0.0308948951132,-0.104557991471,-0.0343186779266,-0.00845304503515,0.0258072149858,0.0246035859899,0.010395968956,0.0235516199298,0.0512754095672,0.0925427373508,0.0230499074514,0.00938689068887,0.0705640739763,0.0193824224053,-0.0125666666539,-0.0350416527778,-0.0182818836837,-0.0963678262301,0.0820876287075,0.0419927039696
