,AA,APD,ARG,AVY,BLL,CF,DD,DOW,ECL,EMN,FCX,FMC,IFF,IP,LYB,MLM,MON,MOS,NEM,NUE,OI,PPG,PX,SEE,SHW,VMC,WRK
AA,1.0,-0.0423111997847,-0.0652846274718,-0.0328181134992,-0.0379020367834,0.0215436189921,-0.0279367756027,-0.0410032409355,0.0331478621028,0.0270496673765,0.202423765999,-0.0645863765757,0.0491813921398,-0.0545779115363,0.0576844144133,0.10428727823,0.00880295902641,-0.027868217063,0.0688272334237,-0.135737190861,0.102260454058,0.059993362679,0.0586037530398,0.00727279711042,-0.0456368372491,-0.053437792202,-0.0300812869007
APD,-0.0423111997847,1.0,0.0138873011067,-0.0616967930373,-0.00550852399164,0.0821967787748,-0.0571238457259,0.00884661822604,-0.0257801496445,-0.0062928153102,-0.0209313700386,-0.165988125816,0.0284921678377,-0.0601553143096,-0.00608478758597,0.00473745270787,0.0350894532915,-0.049807536822,0.0268752765958,-0.0433575793654,0.0124582996173,-0.00032212011564,-0.0362636089968,-0.0255722740562,0.197377821896,-0.018564541025,0.0452764399528
ARG,-0.0652846274718,0.0138873011067,1.0,0.0404907420078,0.0297122420129,-0.0202986142315,0.116983362717,0.0903833825894,-0.0114488175685,0.0483358915747,0.088300066413,-0.04522372275,0.00774437750542,-0.0857206118248,-0.30454904702,0.0118950508748,-0.0089504527205,-0.0436340948515,-0.0170648076382,-0.018398511156,-0.0894146639536,-0.0448772080935,-0.0179524780395,0.00908886878036,0.0133494364969,0.148245054496,0.0427236511132
AVY,-0.0328181134992,-0.0616967930373,0.0404907420078,1.0,0.0231202148436,-0.0104925386196,-0.140824975546,-0.00422573370873,0.0458904168925,0.145031592462,0.0563386873809,-0.00151846457954,-0.0360754224281,0.0363371087322,-0.0695221054975,0.0488657845475,-0.0318749902393,0.00925944431778,-0.276596980597,-0.00322234910341,-0.0767172170134,-0.386361104487,0.028009784457,0.0590034131019,-0.011505789804,0.0679953933218,-0.023628732614
BLL,-0.0379020367834,-0.00550852399164,0.0297122420129,0.0231202148436,1.0,-0.012283701251,0.00588487539624,-0.0158009375641,-0.012948844056,-0.0535095494883,-0.00877045393376,-0.00235698474164,0.0127722401902,0.0760105438339,0.0186917691094,-0.0642132557931,0.0105452159571,0.103961961236,-0.0410031358662,-0.0235136750879,-0.0349452168772,-0.0136287120406,0.0777535067276,0.0592783843814,-0.0151917373552,-0.0266824345592,0.00176076763851
CF,0.0215436189921,0.0821967787748,-0.0202986142315,-0.0104925386196,-0.012283701251,1.0,0.27629551649,-0.0139541286029,-0.031002367732,0.00977468785975,-0.0536854161588,0.0472452071171,-0.00214344317904,-0.0472407307985,0.0113820934194,-0.151704916928,-0.0388787025601,-0.0104481747349,-0.0323300835412,-0.0124921602792,0.000876248160145,0.0185035944642,-0.00117842197233,0.0255918172804,0.133413357728,0.0332485429885,-0.0130653313705
DD,-0.0279367756027,-0.0571238457259,0.116983362717,-0.140824975546,0.00588487539624,0.27629551649,1.0,0.0524808723985,0.0754251882875,0.0213266582873,-0.0019092431383,-0.035069593375,0.0658931930596,-0.130330770469,-0.0494549513703,-0.0189777785058,0.024428083794,0.0253994613554,0.0331650761493,0.0241014632878,-0.0379800565172,0.0623846130995,0.00169076817705,-0.0198744843274,-0.00684836713063,0.0221068627158,-0.00983995920507
DOW,-0.0410032409355,0.00884661822604,0.0903833825894,-0.00422573370873,-0.0158009375641,-0.0139541286029,0.0524808723985,1.0,-0.0175551118386,0.0666348336558,0.123906741123,-0.0183769307792,0.0289203664389,-0.0819676652095,0.0522223541118,0.173590972082,-0.0462765500553,-0.0140376733608,0.0305525016019,-0.0812084683265,0.0215794506199,0.0764538476533,0.0165547418015,-0.0215592633453,0.0120828026546,-0.0156825477209,-0.00588833066484
ECL,0.0331478621028,-0.0257801496445,-0.0114488175685,0.0458904168925,-0.012948844056,-0.031002367732,0.0754251882875,-0.0175551118386,1.0,0.06986077688,0.0526147340336,0.0148548081887,0.025924526814,-0.0616657227444,0.00118961999013,0.13388304627,0.0127522683492,0.00879616467241,0.131787638122,0.059391303975,-0.00643242856803,0.154575989414,0.000587259957841,0.11177035051,-0.0109397798615,0.215308688814,-0.0177856779925
EMN,0.0270496673765,-0.0062928153102,0.0483358915747,0.145031592462,-0.0535095494883,0.00977468785975,0.0213266582873,0.0666348336558,0.06986077688,1.0,0.0411657674856,-0.0111388081692,-0.0124393869534,0.0388581643871,-0.0283016424428,0.130868344132,-0.0555096199355,0.0293157377106,-0.0383197338542,0.011272145707,0.0163046174119,-0.0558460428563,0.0517025159576,-0.000221269540873,0.0411709574872,-0.00646286286116,0.0333756275807
FCX,0.202423765999,-0.0209313700386,0.088300066413,0.0563386873809,-0.00877045393376,-0.0536854161588,-0.0019092431383,0.123906741123,0.0526147340336,0.0411657674856,1.0,0.108796995056,-0.0392040958075,-0.356876615017,0.014120278092,0.0275042955133,0.026738562137,0.075138014094,0.00446562711657,0.024746960881,0.0160209159925,0.0501876716983,0.00210549402854,0.0241726226205,0.0270842753036,0.00454542865977,-0.0507433632674
FMC,-0.0645863765757,-0.165988125816,-0.04522372275,-0.00151846457954,-0.00235698474164,0.0472452071171,-0.035069593375,-0.0183769307792,0.0148548081887,-0.0111388081692,0.108796995056,1.0,-0.755919237331,-0.00795036396352,0.06928799879,0.0221140455048,-0.0428797101933,0.0118600447296,0.000754021474516,-0.017424858732,-0.0245486592251,-0.0416962650382,0.0638153299629,0.0277239795944,0.209855401952,0.0340723950744,-0.0408076398936
IFF,0.0491813921398,0.0284921678377,0.00774437750542,-0.0360754224281,0.0127722401902,-0.00214344317904,0.0658931930596,0.0289203664389,0.025924526814,-0.0124393869534,-0.0392040958075,-0.755919237331,1.0,0.00719408883349,-0.060182040816,-0.0103094172385,0.108805339914,0.00106677474251,0.00942292458204,0.0297215119646,-0.00605072606153,0.109477853034,-0.0140312542665,0.0259574910808,-0.257264038244,0.0259788851273,0.0106434712479
IP,-0.0545779115363,-0.0601553143096,-0.0857206118248,0.0363371087322,0.0760105438339,-0.0472407307985,-0.130330770469,-0.0819676652095,-0.0616657227444,0.0388581643871,-0.356876615017,-0.00795036396352,0.00719408883349,1.0,0.00096281905807,-0.0450992564601,-0.00926612931305,-0.105375190799,-0.0457294043565,-0.0863851016011,-0.0440455690848,-0.124709450396,-0.0112784982894,-0.0386133126007,0.0162798471586,0.0245791517776,0.0399596435575
LYB,0.0576844144133,-0.00608478758597,-0.30454904702,-0.0695221054975,0.0186917691094,0.0113820934194,-0.0494549513703,0.0522223541118,0.00118961999013,-0.0283016424428,0.014120278092,0.06928799879,-0.060182040816,0.00096281905807,1.0,0.0202353073403,-0.0269118762785,0.0250268317369,0.021648846275,0.0638864788021,-0.00149596974893,0.045433973761,0.0298903716736,0.0245252894072,0.0120142187006,-0.219635212565,-0.0983940658896
MLM,0.10428727823,0.00473745270787,0.0118950508748,0.0488657845475,-0.0642132557931,-0.151704916928,-0.0189777785058,0.173590972082,0.13388304627,0.130868344132,0.0275042955133,0.0221140455048,-0.0103094172385,-0.0450992564601,0.0202353073403,1.0,-0.0170088807667,-0.00896534273685,0.0329323348188,-0.247859047027,0.0196304484033,0.03994818866,-0.00458409837857,-0.0321138844578,0.0029326695249,-0.00446899614472,0.0581111618986
MON,0.00880295902641,0.0350894532915,-0.0089504527205,-0.0318749902393,0.0105452159571,-0.0388787025601,0.024428083794,-0.0462765500553,0.0127522683492,-0.0555096199355,0.026738562137,-0.0428797101933,0.108805339914,-0.00926612931305,-0.0269118762785,-0.0170088807667,1.0,-0.010002857156,-0.030461698783,0.0631056755156,0.0404059337823,0.0321643340999,-0.129183214864,0.238652529382,-0.0178504094894,0.0900117530187,-0.040677905176
MOS,-0.027868217063,-0.049807536822,-0.0436340948515,0.00925944431778,0.103961961236,-0.0104481747349,0.0253994613554,-0.0140376733608,0.00879616467241,0.0293157377106,0.075138014094,0.0118600447296,0.00106677474251,-0.105375190799,0.0250268317369,-0.00896534273685,-0.010002857156,1.0,0.0286260387804,-0.00927398836034,0.1122446999,0.0410010201465,0.0244373403312,-0.0272992257892,0.0478015189862,-0.0139328211158,-0.169648540889
