,APA,APC,BHI,CHK,COG,COP,CPGX,CVX,CXO,DO,DVN,EOG,EQT,FTI,HAL,HES,HP,KMI,MPC,MRO,MUR,NBL,NFX,NOV,OKE,OXY,PSX,PXD,RIG,RRC,SE,SLB,SWN,TSO,VLO,WMB,XEC,XOM
DVN,-0.176563808797,-0.0338711641891,-0.214048617779,-0.0716686040398,-0.00392738711023,0.0617895654381,0.0244127578772,0.0476019906003,0.0535585373526,-0.0803000740811,1.0,0.149357971775,-0.000277489161838,-0.115227451834,0.00537328469517,0.0433234727913,0.00425784554468,0.0425002630515,-0.00608326354021,0.0197588184918,0.0851507976549,-0.0981904368735,0.154354295967,0.0489082212712,-0.0293408967209,-0.0888161981324,-0.0163499575645,0.162417687889,-0.0272970791397,-0.0325427334321,0.0379554756506,0.0100068201692,0.109270616689,3.17064748978e-05,0.0745268287933,-0.0226787573683,0.0509201969949,-0.160648533728
EOG,0.216334594511,0.126212465793,-0.146166511035,0.000120032084879,0.0313389544803,0.031946169452,0.0937532504812,-0.0297137123943,0.0798575472467,0.144465259272,0.149357971775,1.0,0.00736230021885,-0.0025709419156,-0.0169494310926,0.0168017439952,-0.0187055602946,0.0525813500742,-0.0139411899725,-0.0668637194279,0.238525017194,0.0916015341808,-0.0705668847479,-0.0248712990573,0.0551415453375,0.046250918989,-0.0109014719295,0.233081907428,0.008517202917,-0.0721320238114,-0.0319537249427,0.0111301038367,0.124293341908,-0.017362629155,0.0228477403715,-0.166991461709,0.062574289759,-0.189193838169
EQT,-0.00215721749735,-0.0230670107735,-0.0382328424573,-0.0216420290349,0.169945715442,-0.0361971910782,0.0297880550541,-0.00908416435394,0.0236758495465,0.0576365314476,-0.000277489161838,0.00736230021885,1.0,-0.0300043356979,0.0285024805441,-0.0182620521043,-0.0190102348393,-0.04824712933,0.0139359261434,0.000185766060886,0.0173005264143,0.0176470318665,0.0137255670596,0.0140885869351,-0.0155900086794,-0.012671038368,-0.0229806596652,0.0024731152656,-0.0201502241303,-0.00825177751786,-0.206377391677,0.0778889568287,0.00988001464914,-0.0111040313335,0.0308998159591,-0.0135758429885,0.0121370532886,-0.000362023111153
FTI,-0.00674599350796,0.0760437505885,-0.00960834184277,0.0363575565892,0.00529508523267,0.0317750667668,-0.0118313281756,-0.01642492312,0.0867931107932,0.130432396827,-0.115227451834,-0.0025709419156,-0.0300043356979,1.0,-0.00988110077023,-0.191099028307,0.00111277702129,-0.165230962019,-0.00178633486502,0.0581626341136,-0.0302736426016,-0.0686452557839,0.097877947088,0.0147908387631,0.0346764276398,-0.00186521520027,0.317301933373,-0.00941833561985,-0.0525622801346,-0.0910459930309,-0.0569837166758,-0.00717842570774,-0.0355400702089,-0.333417810636,0.0175101966838,0.0658293105737,-0.0101172369057,0.0242095986675
HAL,0.0639759856245,0.0284690179616,0.13737311098,0.0987574102534,0.0825672121452,-0.006980122161,-0.00475152786356,0.0381674665087,0.0671469974885,0.0832840630522,0.00537328469517,-0.0169494310926,0.0285024805441,-0.00988110077023,1.0,-0.0647930405019,0.0100685677259,0.122686595614,0.068829627838,0.0656539249969,0.0223067332948,-0.00452699021001,0.0122415366801,0.0749748393718,-0.0141612106275,-0.000613821844031,0.0209922594657,-0.0309933207328,-0.379754995942,-0.0544914652314,0.244756798191,-0.0123873111711,0.103351299968,-0.00657232182291,-0.323014909466,0.0077072302847,0.0298075424816,0.0490934140607
HES,0.0505762446138,0.0400697039066,-0.026737212399,0.0092689519436,0.097552272457,0.0385667850332,0.0435364772792,0.00992817563129,-0.228226617883,0.0161481796986,0.0433234727913,0.0168017439952,-0.0182620521043,-0.191099028307,-0.0647930405019,1.0,0.00728549982952,0.0255460933075,0.00790340967887,-0.00307450936336,-0.0505900163791,-0.00216536327718,-0.0553972609959,0.0327068016063,0.171320443536,0.0797119043942,-0.0178529173285,0.0491143931016,0.0571510924905,0.223771385946,-0.00992021896465,0.0139547174063,0.0584289054874,0.00193587040063,-0.0536980928338,0.0266339230974,0.0429361982794,0.123001193798
HP,0.0157301658018,0.0193486539743,0.0746090927658,-0.124386142088,0.126663313324,0.0335039813306,-0.0261935231464,-0.0688063846128,-0.116691801229,-0.0163251058307,0.00425784554468,-0.0187055602946,-0.0190102348393,0.00111277702129,0.0100685677259,0.00728549982952,1.0,-0.052088792341,0.000576216129424,-0.068532583599,-0.0512754389583,0.00899986303001,0.00636498619206,0.0199414487856,-0.0256376859437,0.0701673862853,-0.00440794910237,-0.0201843832718,0.00347880040842,0.0477856053713,-0.0108980105874,0.0294606773702,-0.0105703913748,0.282888470414,0.0782906238852,0.000433222535543,0.00216032840411,0.0118959389309
KMI,0.00376225021783,-0.0132773742596,0.00622073053167,0.0503135182748,0.00715862073835,-0.0399107460345,0.00961459753817,0.097313300961,0.0243509155557,-0.00489644907338,0.0425002630515,0.0525813500742,-0.04824712933,-0.165230962019,0.122686595614,0.0255460933075,-0.052088792341,1.0,0.017667608583,-0.0529576135525,0.0339272651191,0.0376559100041,-0.0516948494325,0.0535100315347,-0.00592077179109,0.0614989680493,0.0232608311217,0.0675239039374,-0.0446267337331,-0.016070618176,0.0450873892784,0.00907441483522,0.0342865771817,-0.0104640343801,-0.024656440304,-0.0284259882859,0.00999137554774,0.0112470887171
MPC,0.0113437157407,-0.0432350798741,0.00914966125441,-0.0139694674772,0.105357863881,-0.0639615847794,0.0113519360531,-0.0491569404602,-0.0273009364952,4.87250686654e-05,-0.00608326354021,-0.0139411899725,0.0139359261434,-0.00178633486502,0.068829627838,0.00790340967887,0.000576216129424,0.017667608583,1.0,-0.00935321569546,-0.0100402808419,0.0296284801944,0.0139383378793,0.0465852971825,0.0377003323306,0.0110218263935,0.0313087630354,-0.00554090550812,0.0149085076048,-0.0197765875003,-0.0240016053576,-0.304167350784,0.0172753455649,-0.0233844961145,-0.0114188870129,0.0265911042322,0.014068987796,0.0206759957434
MRO,-0.2068643258,-0.0489824074993,0.234170350673,0.151626756276,0.0229585179443,-0.135385602183,0.136596162907,0.0010701383903,-0.0252706845621,0.148311837703,0.0197588184918,-0.0668637194279,0.000185766060886,0.0581626341136,0.0656539249969,-0.00307450936336,-0.068532583599,-0.0529576135525,-0.00935321569546,1.0,0.0909175948716,0.0513212471011,-0.0475962216248,0.159249774636,0.0794586134388,0.0225708340765,-0.0178926323795,-0.0314587918229,0.0465694078991,0.00704617431999,0.0044194660148,-0.0115778419672,0.0525746232827,-0.0155858192266,-0.0233783468892,0.0772834834366,-0.0964498982129,-0.00257360267928
MUR,-0.10810278095,-0.0753216128408,-0.0173849664861,-0.119107523706,0.018508189866,-0.0136342286207,0.0438059152908,0.0125415938648,-0.0199038949364,0.0483743179726,0.0851507976549,0.238525017194,0.0173005264143,-0.0302736426016,0.0223067332948,-0.0505900163791,-0.0512754389583,0.0339272651191,-0.0100402808419,0.0909175948716,1.0,0.0228109743701,-0.00557334309446,0.0305191665181,0.242914372946,0.00808049753439,-0.00292966029453,0.00341537852257,-0.0253072264782,-0.00031235897828,-0.0135207578363,-0.0294658930023,-0.00319724278273,-0.00116572595433,0.0483476380894,0.0189199399394,-0.0177696872685,-0.00140132469791
NBL,0.00462691834426,0.048508768153,-0.0322495383187,-0.106090837444,0.00374771499619,-0.401964676038,0.105894765085,0.0664117882003,-0.0095071326725,0.00679727070211,-0.0981904368735,0.0916015341808,0.0176470318665,-0.0686452557839,-0.00452699021001,-0.00216536327718,0.00899986303001,0.0376559100041,0.0296284801944,0.0513212471011,0.0228109743701,1.0,0.0083295277564,0.0325117369449,0.00080617262315,0.0117872876702,-0.0140917848557,0.033227382234,-0.104053970416,0.00868112465986,0.0283168872072,0.0457373327768,-0.137890491745,0.0463079712848,0.0573547899575,-0.0569636379682,0.0213923084694,-0.108966658873
NFX,0.0630817356239,0.0496676558239,-0.0420597102897,-0.0566225082435,-0.103290932877,-0.0261187646175,-0.046172342856,-0.253819636408,0.0431045737662,-0.0368587579258,0.154354295967,-0.0705668847479,0.0137255670596,0.097877947088,0.0122415366801,-0.0553972609959,0.00636498619206,-0.0516948494325,0.0139383378793,-0.0475962216248,-0.00557334309446,0.0083295277564,1.0,-0.0114735043434,-0.0142423529117,-0.0834253034606,-0.00571579687638,-0.0453479532515,-0.0500790772299,-0.040630594766,0.0191491487854,0.0015309176457,-0.0572020341696,0.0582458004489,0.0257788137513,-0.0147359805159,-0.0134235002957,-0.0742502501351
NOV,0.0243635580621,0.0303806967055,0.184794029628,0.0337879883847,0.0169515585233,-0.0646909784448,-0.00923283124617,-0.144283611742,0.0138410634575,-0.0193958424742,0.0489082212712,-0.0248712990573,0.0140885869351,0.0147908387631,0.0749748393718,0.0327068016063,0.0199414487856,0.0535100315347,0.0465852971825,0.159249774636,0.0305191665181,0.0325117369449,-0.0114735043434,1.0,0.0370827819369,-0.0852391127933,-0.00374002492948,-0.262659198367,-0.00146627421859,0.060915809101,0.099689631914,-0.0906924664694,0.0624588914067,0.0301808722619,-0.00377263491652,0.00645452151277,-0.0104433181758,0.335352073925
OKE,0.00167782737889,-0.0490399890694,0.0312804190202,0.02625972618,-0.00106456172633,-0.0379432030943,-0.0499984810923,-0.00472364870315,-0.0526361016305,-0.0021091689044,-0.0293408967209,0.0551415453375,-0.0155900086794,0.0346764276398,-0.0141612106275,0.171320443536,-0.0256376859437,-0.00592077179109,0.0377003323306,0.0794586134388,0.242914372946,0.00080617262315,-0.0142423529117,0.0370827819369,1.0,-0.264256818356,-0.00927736772687,0.00377707657336,-0.0690485248629,0.0455209175413,0.100777618575,0.0103486789081,0.00335805871405,0.0856248400036,-0.0120299489271,0.136447432918,0.00463748244232,-0.0435744666612
OXY,0.0545941972119,0.00564509942237,-0.0746475960008,-0.0541822694021,0.0376382779652,0.0375549118435,-0.00598640727002,0.00878507401783,-0.0451240776191,0.0127532263888,-0.0888161981324,0.046250918989,-0.012671038368,-0.00186521520027,-0.000613821844031,0.0797119043942,0.0701673862853,0.0614989680493,0.0110218263935,0.0225708340765,0.00808049753439,0.0117872876702,-0.0834253034606,-0.0852391127933,-0.264256818356,1.0,-0.0622643669311,0.102500297046,-0.0431577682613,0.0427294363633,0.0389010702136,-0.00160371015357,0.0227177341811,0.0380630435252,0.0415370309462,0.140761965502,0.00582456184017,0.117408982044
PSX,-0.0166317793189,0.0536414393605,-0.00176251459957,0.00287906810643,0.0210827566893,0.00459450259506,-0.0179759080174,-0.00692129894087,-0.00421031061637,0.0283804071324,-0.0163499575645,-0.0109014719295,-0.0229806596652,0.317301933373,0.0209922594657,-0.0178529173285,-0.00440794910237,0.0232608311217,0.0313087630354,-0.0178926323795,-0.00292966029453,-0.0140917848557,-0.00571579687638,-0.00374002492948,-0.00927736772687,-0.0622643669311,1.0,-0.000330504131337,0.0138142976926,0.00125387937786,0.00744624269407,0.0375273578442,-0.0126579006083,-0.66242489457,0.0162798174106,-0.0425659354208,-0.00213602178072,-0.00371665633168
PXD,0.0531059543898,0.0126163474773,-0.238810619339,0.0491080980956,-0.00915597828676,0.0122648101877,0.0183039933056,0.0465435319999,-0.00194553609672,-8.42568386007e-05,0.162417687889,0.233081907428,0.0024731152656,-0.00941833561985,-0.0309933207328,0.0491143931016,-0.0201843832718,0.0675239039374,-0.00554090550812,-0.0314587918229,0.00341537852257,0.033227382234,-0.0453479532515,-0.262659198367,0.00377707657336,0.102500297046,-0.000330504131337,1.0,-0.0599971067775,-0.0496471102356,0.0337772229241,0.0650552694523,-0.0725165031528,0.09009777129,-0.0324727299322,-0.000644734169946,-0.0218521950185,-0.302346669308
RIG,0.0124901132643,-0.0384527231574,-0.0214443002164,0.032064206345,0.0219232177582,0.0443966393057,-0.0178467150137,-0.116949319295,-0.0208790831641,0.0152580560536,-0.0272970791397,0.008517202917,-0.0201502241303,-0.0525622801346,-0.379754995942,0.0571510924905,0.00347880040842,-0.0446267337331,0.0149085076048,0.0465694078991,-0.0253072264782,-0.104053970416,-0.0500790772299,-0.00146627421859,-0.0690485248629,-0.0431577682613,0.0138142976926,-0.0599971067775,1.0,0.0324969837522,-0.126080920276,-0.0604549651318,0.377176797296,-0.0513358806567,-0.0151919640384,-0.0240112711779,-0.00503053440345,0.0899700064339
RRC,-0.0474473837273,0.0160124996186,-0.0164489852884,-0.00866961427514,0.0260418130743,-0.0827207550556,-0.0181928305126,-0.00632613845512,-0.272688372468,0.00738644009281,-0.0325427334321,-0.0721320238114,-0.00825177751786,-0.0910459930309,-0.0544914652314,0.223771385946,0.0477856053713,-0.016070618176,-0.0197765875003,0.00704617431999,-0.00031235897828,0.00868112465986,-0.040630594766,0.060915809101,0.0455209175413,0.0427294363633,0.00125387937786,-0.0496471102356,0.0324969837522,1.0,0.0525696186952,-0.0298839465043,0.0267354829776,-0.013824233217,0.00395782316475,0.0862163715744,0.0022688573514,0.0592194877069
SE,0.0062801857519,-0.084603809613,0.038920408429,0.101504304138,0.0276230324326,-0.116419025826,-0.0640387229464,-0.00450949615677,0.114314121126,-0.0550058440163,0.0379554756506,-0.0319537249427,-0.206377391677,-0.0569837166758,0.244756798191,-0.00992021896465,-0.0108980105874,0.0450873892784,-0.0240016053576,0.0044194660148,-0.0135207578363,0.0283168872072,0.0191491487854,0.099689631914,0.100777618575,0.0389010702136,0.00744624269407,0.0337772229241,-0.126080920276,0.0525696186952,1.0,0.0056675268841,0.0645781418602,0.0116995504304,0.0210651831668,0.0684142760774,0.0950034288187,-0.0141467300831
SLB,0.0963062910753,0.0324148928727,-0.0197649948337,-0.124667937934,0.0102668992356,0.0362200002539,0.0242329484146,-0.0034491410534,-0.110802372049,0.0132943331256,0.0100068201692,0.0111301038367,0.0778889568287,-0.00717842570774,-0.0123873111711,0.0139547174063,0.0294606773702,0.00907441483522,-0.304167350784,-0.0115778419672,-0.0294658930023,0.0457373327768,0.0015309176457,-0.0906924664694,0.0103486789081,-0.00160371015357,0.0375273578442,0.0650552694523,-0.0604549651318,-0.0298839465043,0.0056675268841,1.0,-0.131541101235,0.0398894948847,0.00184992095377,-0.03868127608,0.166575883359,-0.0124831658414
SWN,-0.0693039495798,0.00024614605809,-0.0439727626243,0.0787756817719,0.154610942243,0.00185329316369,0.0182994775748,-0.0253952583167,0.0638108065704,0.165557768277,0.109270616689,0.124293341908,0.00988001464914,-0.0355400702089,0.103351299968,0.0584289054874,-0.0105703913748,0.0342865771817,0.0172753455649,0.0525746232827,-0.00319724278273,-0.137890491745,-0.0572020341696,0.0624588914067,0.00335805871405,0.0227177341811,-0.0126579006083,-0.0725165031528,0.377176797296,0.0267354829776,0.0645781418602,-0.131541101235,1.0,-0.0147223200312,0.0209516100708,-0.0398125174652,0.0687518620456,0.0674681473234
TSO,-1.20447996425e-05,-0.0568445728587,0.0572266636252,-0.0380742538099,0.0407061078652,-0.0590117993771,0.0338563874936,-0.024818772113,-0.0434968126873,-0.0350662203058,3.17064748978e-05,-0.017362629155,-0.0111040313335,-0.333417810636,-0.00657232182291,0.00193587040063,0.282888470414,-0.0104640343801,-0.0233844961145,-0.0155858192266,-0.00116572595433,0.0463079712848,0.0582458004489,0.0301808722619,0.0856248400036,0.0380630435252,-0.66242489457,0.09009777129,-0.0513358806567,-0.013824233217,0.0116995504304,0.0398894948847,-0.0147223200312,1.0,0.0555631602602,-0.00768297231332,-0.00539150273277,0.00071420956377
VLO,-0.0165062315296,-0.0162509614661,0.0292531035943,-0.0636813962283,0.0316140515947,-0.00353068994157,0.0422597806022,0.0387714859142,-0.0573819819071,-0.00487569811113,0.0745268287933,0.0228477403715,0.0308998159591,0.0175101966838,-0.323014909466,-0.0536980928338,0.0782906238852,-0.024656440304,-0.0114188870129,-0.0233783468892,0.0483476380894,0.0573547899575,0.0257788137513,-0.00377263491652,-0.0120299489271,0.0415370309462,0.0162798174106,-0.0324727299322,-0.0151919640384,0.00395782316475,0.0210651831668,0.00184992095377,0.0209516100708,0.0555631602602,1.0,-0.0712168213318,-0.0159059308395,0.011678595397
WMB,-0.0732558895173,-0.0153189718874,-0.02843596448,-0.0184911815984,-0.0409350292535,-0.0111319777752,-0.164054295092,-0.0306131067186,-0.0408788765139,0.0194408698113,-0.0226787573683,-0.166991461709,-0.0135758429885,0.0658293105737,0.0077072302847,0.0266339230974,0.000433222535543,-0.0284259882859,0.0265911042322,0.0772834834366,0.0189199399394,-0.0569636379682,-0.0147359805159,0.00645452151277,0.136447432918,0.140761965502,-0.0425659354208,-0.000644734169946,-0.0240112711779,0.0862163715744,0.0684142760774,-0.03868127608,-0.0398125174652,-0.00768297231332,-0.0712168213318,1.0,0.0120889496656,-0.0189647022429
XEC,0.0156429315209,0.0244844348908,-0.0481341484828,-0.118852629954,0.0251470708782,-0.0661990340384,0.0091654956163,0.0120432826185,0.0423161497498,0.062856145302,0.0509201969949,0.062574289759,0.0121370532886,-0.0101172369057,0.0298075424816,0.0429361982794,0.00216032840411,0.00999137554774,0.014068987796,-0.0964498982129,-0.0177696872685,0.0213923084694,-0.0134235002957,-0.0104433181758,0.00463748244232,0.00582456184017,-0.00213602178072,-0.0218521950185,-0.00503053440345,0.0022688573514,0.0950034288187,0.166575883359,0.0687518620456,-0.00539150273277,-0.0159059308395,0.0120889496656,1.0,-0.0186895991203
XOM,0.0205744270576,0.00501358387955,0.0758567691813,0.067591098091,0.0867401825265,0.0333293491308,0.100459725897,-0.0201758537643,0.0307589296364,-0.0216454436974,-0.160648533728,-0.189193838169,-0.000362023111153,0.0242095986675,0.0490934140607,0.123001193798,0.0118959389309,0.0112470887171,0.0206759957434,-0.00257360267928,-0.00140132469791,-0.108966658873,-0.0742502501351,0.335352073925,-0.0435744666612,0.117408982044,-0.00371665633168,-0.302346669308,0.0899700064339,0.0592194877069,-0.0141467300831,-0.0124831658414,0.0674681473234,0.00071420956377,0.011678595397,-0.0189647022429,-0.0186895991203,1.0
