,CTL,FTR,LVLT,T,VZ
CTL,1.0,0.00298223045529,-0.126438735728,0.00555865035549,0.107400975105
FTR,0.00298223045529,1.0,0.0598959787691,0.0354968302107,0.0962284193623
LVLT,-0.126438735728,0.0598959787691,1.0,0.0964668480013,0.0900747803032
T,0.00555865035549,0.0354968302107,0.0964668480013,1.0,-0.00694371075323
VZ,0.107400975105,0.0962284193623,0.0900747803032,-0.00694371075323,1.0
