,AAP,AMZN,AN,AZO,BBBY,BBY,BWA,CBS,CCL,CMCSA,CMG,COH,CVC,DG,DHI,DIS,DISCA,DISCK,DLPH,DLTR,DRI,EXPE,F,FL,FOX,FOXA,GM,GPC,GPS,GRMN,GT,HAR,HAS,HBI,HD,HOG,HOT,IPG,JCI,JWN,KMX,KORS,KSS,LB,LEN,LOW,M,MAR,MAT,MCD,MHK,NKE,NWL,NWS,NWSA,OMC,ORLY,PCLN,PHM,PVH,RCL,RL,ROST,SBUX,SIG,SNA,SNI,SPLS,SWK,TGNA,TGT,TIF,TJX,TRIP,TSCO,TWC,TWX,UA,ULTA,URBN,VFC,VIAB,WHR,WYN,WYNN,YUM
AAP,1.0,-0.0206240851131,0.00578189284889,0.0497677742865,-0.0108004204767,-0.0351726914724,-0.0301706493798,-0.0702331277906,0.0379589240272,0.000817288636335,-0.0413845639062,0.0109446492019,-0.011873691201,-0.0232359267038,0.00170502381034,0.0387975443025,-0.00785462852537,0.00528885129851,-0.00786953041181,-0.0275025632737,0.0024214851608,0.00533894933619,0.0677878119022,0.0334656814895,0.0102904927813,0.0136145262534,-0.100911076266,0.00493179406944,-0.0157968272879,-0.157346907039,-0.0338199936853,-0.0658723878338,-0.00616563147927,0.062126775985,0.0810922918491,0.018827802544,0.00843872054845,-0.015148381249,0.0396113988178,0.175380464118,0.00237820599627,0.0355122778298,0.0213959124145,0.0260433958708,-0.0580004529788,-0.030292325657,0.03554294273,-0.0126875845693,-0.00759526791843,0.0652221192678,-0.00426971756084,-0.0249057300289,0.0363363676037,0.0223803400032,-0.00399762452005,0.0200312181645,-0.00340409812342,-0.00662717568948,-0.101948228461,0.0164785893167,0.0130599358038,0.107969911475,0.0158145824833,0.0912382883677,0.00640547492071,-0.00629224472834,-0.0207687067568,0.0205983834104,-0.0317583588066,0.00644310475233,0.046176421141,-0.00920838805102,0.0155250208812,0.060976011537,-0.0308410888943,-0.0104633789973,0.00522933817514,0.0148286220546,-0.0281704272585,-0.00815940928277,0.0376277327532,0.0472593615037,0.019382113977,0.0236217976105,-0.0451732517503,0.0135097251321
AMZN,-0.0206240851131,1.0,-0.0367204029764,-0.0170005396321,0.031342659115,-0.00276054442904,-0.0243939530834,0.00968801479329,0.0772078288788,-0.0318910679315,-0.0135252093175,-0.110293397873,0.0972241234048,0.0104606213645,-0.118647765233,0.0177440129591,0.00727265033416,-0.0339791341235,0.0379147242439,0.0126781628944,0.0525472413219,-0.0174102695753,0.0725841175707,-0.0644695372001,0.0509281895809,0.0440598338426,-0.0733061229129,-0.0195955544728,-0.0326005492156,-0.0251009119456,-0.135184317324,0.0240255357036,0.0710742663725,0.0156187916151,-0.00134880794616,-0.0104921475558,0.0327060243171,-0.0278590813032,0.231212041899,-0.00419509330912,-0.00250248329756,-0.0317177505662,0.0274049302792,-0.0240324969569,-0.207659894544,0.00577179676367,-0.0120997187634,-0.0193003296267,-0.03021334625,-0.00401844555263,0.0198095523387,0.0160043313051,-0.0210294087667,0.0785416519694,-0.0504114672432,0.0110743430362,-0.0209877864169,-0.00302000654334,-0.184909897323,-0.0850196212342,0.0559412450136,0.01111943995,0.0541473106147,-0.0469385189472,-0.00947136562159,0.0051466941732,0.236903848653,0.00543167738117,-0.0343499194964,-0.0307534215299,-0.0114692900986,-0.0903769450623,-0.00354805127665,-0.026588100362,0.0363638249321,0.0069806590079,-0.00615186023815,0.0297875422887,0.0342459552869,0.0471616578076,-0.0941391780445,-0.173184920122,0.0509803161348,0.0252344047028,0.030523325179,-0.0297464668836
AN,0.00578189284889,-0.0367204029764,1.0,-0.00483361934706,-0.0259010934154,0.00719766244116,-0.0430512250792,0.00141663382403,0.00868430023321,0.0071854013567,0.0209084617006,0.0117089601492,0.0220419726118,0.0586899897186,-0.00204498640483,0.0552275831685,0.0247039816616,-0.0185815627912,-0.000357942586839,-0.0372334878538,0.0139422054975,-0.0669891200444,-0.010927000419,-0.0431183194722,-0.0573181407072,-0.0400936237028,0.011466625291,-0.00557765644662,0.105053469717,0.00291867442974,0.0170079597911,0.0341175380548,0.00487712404048,0.0221039313692,0.0149261182713,-0.0683378815196,-0.00473292182192,0.0494286865035,-0.00444436643923,0.149086289797,-0.086750462968,0.0223151287092,-0.0471317842302,-0.00599428395322,-0.022105327568,0.0121788377391,0.0169581877813,-0.0913854597547,-0.0339028571889,-0.00902089533277,0.119482379294,0.0412241943324,-0.033190817183,-0.0560671030401,-0.0582356964049,-0.0726308825623,0.0246692878745,0.0286256782705,-0.0459331334124,-0.00116781061681,-0.0240781215437,0.0607604429723,-0.0458141015824,-0.0475396822349,0.0183807769633,-0.0141066360626,0.0108639202093,0.00914073750718,0.00610991181245,-0.24270899775,0.022084691451,0.0198124147811,-0.0101684029591,-0.0409826116094,-0.0063371074887,-0.000711744575258,0.0419151488747,0.0586954614917,-0.105642540557,0.0418240269515,0.0410786959119,-0.00594907184491,0.038004715121,-0.0243338538958,-0.0108492917704,0.0554316550075
AZO,0.0497677742865,-0.0170005396321,-0.00483361934706,1.0,0.00957868895532,-0.0295991159845,0.168740864435,-0.0013376737544,-0.52000981418,0.127569551207,-0.0311496324475,-0.0201812656292,-0.189652949426,-0.00196733998984,-0.0396415106608,0.0124978851268,0.0185832288538,-0.000197242992505,-0.00262103321407,-0.054960955418,0.0607133012729,-0.0209823320698,0.0269137493032,-0.00119065768939,0.0572284923683,0.000806243870626,0.134778884588,0.0347454531747,-0.107454017815,-0.0294069991795,-0.021592101469,-0.0574860160984,0.00150324328157,0.121656351237,0.071470962623,-0.0832654338672,-0.0968537173518,0.0798888204801,-0.000541090982936,0.00704863583163,0.0404355373777,-0.117432249928,-0.0215618145039,0.044939733147,-0.0195389978254,-0.050201996696,-0.00173697823722,-0.0122525371424,-0.00669688031517,0.0855829526124,0.0359157460804,0.0204578650729,0.0159155242668,-0.0953188858358,0.399568306142,-0.0137141611566,-0.063179761145,-0.0558107602996,-0.0261029964521,0.000211563591066,0.130313561842,0.000111445851328,-0.173928402777,-0.0200311631948,0.0122393515721,-0.0729215870593,0.000722706849735,0.117892518168,-0.033711999799,-0.00358401237652,-0.00756026644508,-0.0104372634168,0.102540541409,0.0986776552942,0.0452838220914,0.0658094162793,-0.0725116962428,-0.0261828446426,0.00967828471276,-0.0612635662342,-0.452416100367,-0.0204510448563,0.0155330448241,0.022258365916,-0.105691091087,-0.0606565063872
BBBY,-0.0108004204767,0.031342659115,-0.0259010934154,0.00957868895532,1.0,-0.0585770588511,0.00623906361602,0.00248457288424,0.00690741990912,0.0247070736472,-0.0166020582341,0.123670182562,-0.0104528513831,0.0176337992802,-0.0976631312583,0.0224527449657,0.173213890901,0.0136744962811,-0.0093093743055,-0.000791530457965,-0.0194075950929,0.0570638711399,0.0465685015831,-0.00512702350081,0.0240404646874,0.0277322810554,-0.0674125689493,0.026962147613,0.257452317174,-0.0613362183865,-0.016927003399,0.0119663759412,-0.0158747790823,0.0347867030928,-0.0748926879914,0.117990708059,0.0824091954192,0.0327709345752,0.0581380280768,0.0187525263329,-0.133534663615,0.0342359915661,-0.00489237603561,0.00760765533082,-0.0315196124054,0.0108313342014,0.0439554788489,-0.0334610004594,0.00731192177643,-0.0147561133155,-0.00938893229075,0.0148390440928,0.0342048729763,-0.0475859461013,-0.0426863852997,0.0304767975454,-0.00306336193714,-0.0303081306141,-0.11509427225,0.0113531676645,-0.0254775196147,0.0111472323269,-0.0592038261129,-0.0352588553309,0.0399316827429,-0.0315153069652,0.039544315442,-0.00967816342053,-0.00969058296886,-0.0252879329956,0.121207246997,0.0306444899048,0.00771399553555,-0.170786692856,-0.0443909095907,-0.241653606983,0.00583002870976,-0.000686512335677,-0.0129355574094,-0.0353200371238,-0.0941832584184,-0.01406030463,0.269411043252,-0.0186670963691,-0.0307391940027,-0.00838366923239
BBY,-0.0351726914724,-0.00276054442904,0.00719766244116,-0.0295991159845,-0.0585770588511,1.0,0.0252371499114,0.0232900982657,0.199608122123,0.0477709187652,0.0122936530455,0.0141123159491,0.018940637111,-0.0230116735045,0.0621930211254,0.0113167982049,-0.012661798644,-0.157042338457,0.00919410793034,-0.0446740534617,-0.0105395827958,-0.020046971725,0.0217447838469,-0.0180820592819,0.00474187513397,0.0434618339422,0.0221261441514,0.0537675780541,-0.0277799804484,0.0677430760065,-0.0236413386621,-0.0457464522937,-0.207155401935,0.0021495362658,0.0159707262226,0.0200725052912,0.0325165470922,0.0156319271436,-0.0347961170405,-0.019513013481,-0.10411943154,-0.132150310911,0.0245331452926,0.289836959684,0.0199076147422,-0.0211474057691,-0.0342087766594,-0.00361955890768,0.0593829458298,-0.0020425197169,0.00192970613661,-0.0549822273715,0.0791353433292,0.0672927686291,0.0785015733322,-0.0472663986324,-0.179216416529,0.00681789287164,0.0947543296257,-0.00872986087557,-0.0132566429897,-0.0342307943543,0.0408607695423,-0.0288141972101,0.00551806779111,0.0125791147276,-0.000824769915138,0.0384536912468,0.00512947926966,0.0187012211277,-0.0600748756005,0.240747075971,-0.0467138442676,0.0579333986088,0.0496792447246,0.0156400145639,0.0703104001104,0.0972319766605,-0.0389582280379,-0.0150393233148,-0.00231814355272,0.122398158929,-0.0170306384574,0.0163551784435,0.0193640828328,0.00570619092998
BWA,-0.0301706493798,-0.0243939530834,-0.0430512250792,0.168740864435,0.00623906361602,0.0252371499114,1.0,0.0399485240403,0.0156838418418,0.0331429181394,0.00993355472922,0.00741459026115,0.0122127080751,-0.0109272746753,-0.0575278365907,0.0196650693561,0.0265685850892,-0.0335518511312,0.0137366347154,-0.1183482353,0.00171186971123,0.0874202834961,0.0195844226729,-0.127652215016,-0.0249853577514,-0.0327289006433,0.301283860115,-0.117453575625,-0.0163382984511,-0.00959444500875,0.122744323611,0.00637666276604,-0.0535539978559,0.0387155854682,0.0500729089319,-0.00155935371565,-0.0305789818439,-0.0794995884192,0.0302590977878,0.0358410308079,0.0512508546747,0.000681457329374,0.0147677769419,-0.0225228340411,0.00915143024943,0.0904274366728,-0.0680507822498,0.0128680669376,0.0678462539537,-0.0460279024742,0.0214496135596,-0.0485951743807,-0.0383214534708,-0.126833404881,-0.00209479899534,-0.124054797471,-0.0220410004512,-0.026874347282,0.0211017561023,-0.0908954468323,0.000970106591588,-0.00151700110235,0.0753111045278,-0.0117683362801,-0.158573408989,-0.127775310129,0.00728280378546,0.0841209876969,0.0744944970353,0.0100318181935,-0.0587209119822,0.0184531962585,0.0287095148987,-0.0742233243502,0.0399086975894,0.0223544387996,0.0276121183419,-0.0239952934871,-1.11909300589e-05,-0.013722694583,0.0192936296689,0.000431462560397,-0.0218474338833,0.0258732632034,0.0309886431103,-0.0324460190004
CBS,-0.0702331277906,0.00968801479329,0.00141663382403,-0.0013376737544,0.00248457288424,0.0232900982657,0.0399485240403,1.0,-0.00244935532146,-0.0193226395227,0.0376567394412,0.0195598480562,-0.0104942820702,-0.0291738449635,-0.00729670262307,-0.0202582125938,-0.0805203533749,-0.00838841363463,-0.0760691255018,0.00425792923642,0.0381404830303,0.126493188885,0.0265143529543,-0.348250241505,-0.0169595587121,0.00396690855194,0.0304993512753,0.234351480072,-0.0793516595359,-0.192076472556,0.210668820789,0.164943245681,0.0077966785026,-0.215173389398,-0.0626270853341,0.0124638643525,-0.197046176813,0.167193100218,-0.131949919263,-0.0185273730871,0.0055808980897,0.103712454374,-0.0621307888991,-0.0109650417217,-0.0143866009564,0.432259275872,-0.0264380163125,-0.00556345656856,0.0166837468397,-0.378825514241,-0.0110722403711,0.0330500025105,-0.0886693588976,-0.0818534163882,-0.0790390790534,-0.0473391288953,0.012540075928,-0.0201474177629,0.0307117565836,-0.0398172345877,0.0656673595715,-0.035904736779,-0.00654143383519,-0.0146934748398,0.112497314159,0.0312531561909,0.0558544889316,0.0715887038768,0.431103686493,0.00773495243704,-0.00623806204099,0.0680204735467,-0.028850768636,-0.0795588292888,-0.0115978034131,0.00146421917916,0.00258168893842,0.038771805773,0.0514577532709,0.016031464367,-0.00297181065785,0.131386257394,-0.0048667982435,0.022338495637,0.00887030105328,-0.206146724182
CCL,0.0379589240272,0.0772078288788,0.00868430023321,-0.52000981418,0.00690741990912,0.199608122123,0.0156838418418,-0.00244935532146,1.0,-0.167789320462,0.0142719345651,0.00759473043401,0.268804944833,-0.0393423953325,0.0898140881396,0.0401297242723,0.0310005727291,-0.021846355207,0.0144252750981,-0.0222948525935,-0.0513041584018,0.0209234513269,0.0300415011673,0.0152106007731,0.0144249900835,0.012442644658,0.026605904638,0.0187584088356,0.00177314368959,0.0381127203133,-0.033657388137,-0.0233241713347,-0.01616008799,-0.124442998141,-0.0278037044551,0.0137974403579,0.021597197081,-0.0681998285536,0.0129268052651,-0.0354123041857,-0.0141745939759,-0.017235203761,-0.0659363844549,-0.00453728724511,-0.0278293446248,0.00808329759665,-0.0349591299056,0.0763257417964,-0.0790849682465,-0.045816509313,-0.00653632529119,0.0113925076084,0.069612825549,0.0522381176507,-0.266906909222,-0.00689308910462,-0.00601326700436,0.0239225416239,0.0145874833132,0.00533256165623,6.96356450113e-05,-0.0136368637262,0.216698069399,0.0305893017388,-0.0331284838678,-0.0395132336154,0.0213773042318,-0.00685558216455,-0.0110298497701,-0.0569416776964,-0.028997626752,0.0196304351187,-0.166433430842,0.0480005809488,-0.0163153394314,-0.00828922062377,0.00559398795529,0.0817322629219,-0.00114346062635,0.03033117106,0.552339026033,-0.00494898849457,-0.0234208863487,-0.0135120170499,-0.0110837042256,0.00532995297478
CMCSA,0.000817288636335,-0.0318910679315,0.0071854013567,0.127569551207,0.0247070736472,0.0477709187652,0.0331429181394,-0.0193226395227,-0.167789320462,1.0,0.0239563812535,-0.00959290807716,-0.145623953061,0.0729401683228,-0.0280306626427,0.0571751871477,-0.037081283998,-0.0444004177575,-0.0541175217823,0.197551244716,0.0440761542386,0.0548491510867,-0.22453139754,0.0968088595851,0.024159569661,-0.0541505347641,0.0282624696667,-0.028833244755,-0.0457768533828,-0.183675844277,0.0192295452826,-0.0371653441205,0.00840026656628,-0.0708231912119,-0.0483168611087,0.0299450384518,0.204688424787,0.1769076919,-0.0456682067272,-0.0117915974026,0.00177170653509,0.00223055086901,-0.0275718319628,0.0344979244436,0.0193695931905,-0.0663664401375,-0.033358136375,-0.0121380952553,-0.0224820020183,-0.0813816161867,0.045246577318,-0.0270721717889,0.0188347538583,-0.111365402747,0.169541265459,-0.166035161276,-0.0337073155084,0.168686333596,-0.0401868397424,-0.00587074910392,-0.0423532686747,0.0751374998342,-0.0738936588093,0.0323305281708,-0.000521751541283,0.0422601190858,0.0142752445486,0.0495767778737,0.0303398176721,0.0268096048088,0.0377555935774,-0.12222303015,0.0363458667936,0.0545112446884,0.0712404394449,-0.026817275325,-0.0788184463728,0.0652153386632,-0.0510416582585,0.018597984235,-0.218662940558,0.0164694979078,-0.0468403607246,-0.0896045334685,-0.0159020879943,0.163663776822
